hru,2010,2020,2030,2040,2050,2060,2070,2080,2090
89,592.0242857,675.7478571,579.8192857,550.9485714,479.1457143,384.5078571,442.7572143,542.6878571,591.2955
90,655.8633333,674.2233333,573.4933333,624,584.905,579.0116667,647.6616667,588.8266667,587.3583333
91,713.52,734.1428571,650.0314286,718.8485714,692.4128571,658.1564286,676.9292857,711.1264286,670.4314286
92,647.789,714.21,705.154,788.446,731.587,629.983,647.858,621.117,612.085
93,680.1560345,690.5856897,610.0598276,658.1791379,667.8986207,612.8460345,625.1486207,678.1201724,664.5112069
94,687.77,642.7575,577.56,679.06,716.2075,643.815,611.9525,641.0675,665.60875
95,598.6457143,698.9357143,597.5157143,667.8814286,569.2714286,560.2328571,590.9771429,672.9114286,660.8371429
96,685.7266667,689.4733333,608.6766667,649.7633333,644.22,592.8133333,617.9433333,664.05,669.0633333
97,689.3966667,694.025,612.8816667,653.9616667,648.66,596.0583333,621.3733333,668.425,673.5166667
98,549.184,524.976,491.756,631.314,659.2,627.274,542.837,530.8,503.53
99,750.64,759.89,665.795,712.65,709.175,660.705,680.145,729.915,737.8
100,765.3333333,778.1483333,682.9733333,730.6933333,727.805,675.1716667,695.8733333,749.6083333,758.1366667
101,700.4172727,649.0390909,577.3054545,628.5018182,670.5963636,630.9554545,582.7627273,646.1363636,680.8581818
102,674.49,682.0742857,592.081,583.8828571,579.4214286,631.64,631.28,567.3228571,590.0357143
103,764.155,775.11,679.05,726.34,722.83,671.52,691.895,744.17,752.455
104,516.562,484.13,423.556,510.828,556.046,557.472,351.204,413.756,425.812
105,638.5525,685.1175,606.3175,648.1875,568.2125,536.4425,603.295,660.5075,666.635
106,724.1071429,632.7421429,521.7481429,594.6928571,616.0357143,615.3947143,632.2465714,617.4335714,647.555
107,624.0175,643.0591667,543.8116667,573.2291667,608.1391667,601.0475,594.7875,636.075,651.8416667
108,659.28,652.74,562.33,596.08,609.575,604.645,608.99,662.605,657.175
109,616.1833333,615.7526667,565.2306667,586.0479333,563.234,498.9368667,507.5937333,574.302,577.1166667
110,652.6291667,684.5541667,609.835,644.2058333,630.89,585.6958333,618.1291667,662.8241667,643.1515
111,791.2544444,811.7433333,713.3033333,760.65,722.0466667,683.3811111,711.7633333,784.8666667,793.1222222
112,701.945,669.58,545.975,450.4825,482.3875,439.4675,523.5025,584.6925,476.41
113,649.2475,586.9125,492.3785,469.375,498.7975,614.0675,671.15,654.125,623.0175
114,716.992381,677.0290476,536.2689524,549.3757143,549.92,524.4714286,609.4290476,661.2680952,663.8633333
115,636.653913,595.7034783,495.0274783,512.3091304,515.02,499.1982609,505.3986957,499.9991304,547.1873913
116,701.701,676.471,587.998,650.229,698.636,654.263,653.412,693.646,707.346
117,428.39,315.3,448.84,624.05,657.2,609.01,635.18,683.68,687.5
118,688.5811111,691.69,556.44,549.6933333,603.1022222,638.28,611.0522222,631.5222222,579.9077778
119,722.1875,733.2442857,641.0017857,709.0392857,710.7264286,679.3382143,704.1678571,743.7503571,732.1803571
120,617.309,614.88,524.08125,594.853,607.4345,560.33565,547.875,565.028,607.3345
121,958.7583333,906.2496667,769.6746667,776.7176667,839.1466667,829.4443333,865.9396667,830.1186667,845.8806667
122,573.3614839,676.4664516,629.2890645,640.4906452,602.4132258,490.4058065,573.9651613,622.2956774,605.9235806
123,676.0173077,685.0630769,582.38,602.2123077,572.4484615,557.5911538,586.3517692,605.6042308,589.8856538
124,659.6985294,611.0788235,491.6781176,548.5400882,570.4806176,541.9534706,519.4280588,572.9352941,625.2855882
125,741.9823529,748.7552941,660.3711765,707.6882353,712.0552941,676.0623529,678.5411765,731.33,736.8341176
126,642.22544,598.3964,474.75596,555.174,587.67776,589.2772,557.54188,545.9278,519.89572
127,719.9011111,745.9616667,673.1205556,719.5144444,746.4088889,725.1116667,739.2772222,770.92,729.1022222
128,695.6571429,684.9071429,592.7147143,637.9757143,588.3614286,565.1457143,565.5985714,652.8257143,652.4671429
129,994.4307143,976.755,851.1542857,875.8914286,891.6942857,871.7021429,941.8621429,961.7378571,925.3864286
130,674.55625,630.85875,482.9415625,520.220625,545.093125,521.3684375,491.261875,553.3125,572.61375
131,663.9536842,651.4857895,563.6597895,606.6489211,619.8905,567.1872895,569.1107895,612.6686842,614.9742105
132,656.09,652.61,571.95,612.79,608.16,565.6,587.6,626,628.72
133,628.815,635.67125,586.2304167,565.72,546.1395833,499.311375,590.5958333,603.495,651.5145833
134,635.57,631.675,553.23,592.745,588.43,547.44,568.555,605.08,607.805
135,637.7281818,656.4145455,576.9718182,614.6418182,582.2714545,526.4771818,540.8513636,593.7781818,605.7918182
136,964.0757143,969.5833333,831.5533333,836.1580952,853.9828571,842.1285714,914.6842857,892.8447619,833.2390476
137,653.03,648.77,568.22,609.06,604.36,562.83,584.56,622.05,624.66
138,719.1446154,720.7407692,624.9253846,663.5646154,624.5684615,614.4692308,654.1507692,719.5223077,686.4261538
139,698.2191667,694.9283333,571.9466667,572.9675,582.4825,585.255,626.0925,525.26,516.9641667
140,720.1129032,700.3229032,604.2119355,619.8003226,621.4006452,584.4412903,585.8474194,581.1474194,630.2335484
141,737.5311111,757.8659259,647.3711111,689.4477778,691.9985185,650.2344444,680.8459259,715.7340741,688.3118519
142,575.7942105,585.9589474,497.9481579,513.2822632,483.6824737,459.2368947,453.1430526,510.0049474,574.4778947
143,736.484,764.774,680.98,691.348,656.148,679.728,659.304,584.008,461.622
144,696.0266667,677.968,607.4133333,668.3486667,656.9986667,536.8112667,558.5520667,615.1866667,604.4626667
145,722.29,682.662,523.299,579.634,660.097,644.42,625.161,611.349,595.055
146,790.656,774.0373333,642.648,687.4273333,706.1093333,659.1024667,679.52,702.1733333,722.2733333
147,813.3486207,811.7248276,766.6734483,798.7910345,796.7606897,727.1455172,697.9544828,720.8924138,797.9496552
