"hru","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"6799","574.7819999999999","605.6600000000001","609.262","658.9730000000001","654.5350000000001","648.8340000000001","652.2059999999999","628.1690000000001","636.596"
"6294","674.7650000000001","702.0264285714285","685.6342857142856","714.4285714285714","669.13","677.4414285714286","682.9514285714287","645.5385714285713","629.6885714285714"
"270","793.0622222222223","752.6016666666666","737.9000000000001","782.0938888888891","785.5977777777778","761.4755555555556","792.6422222222222","766.348888888889","766.2788888888889"
"271","720.2528571428572","663.6271428571428","675.6885714285715","675.4757142857143","629.7914285714285","749.4485714285714","624.1","694.7714285714286","751.3585714285715"
"272","744.8705084745764","742.1037288135593","716.5311864406779","757.8484745762712","775.6808474576271","720.266779661017","708.9922033898303","711.4781355932204","728.383559322034"
"273","663.8542857142857","679.047142857143","659.4535714285714","646.0067857142857","595.2739285714285","544.1303571428571","567.6403571428572","602.6839285714285","645.9235714285714"
"274","802.79","781.53","765.78","813.89","800.25","778.52","821.53","807.66","808.24"
"275","822.2433333333333","658.9","683.7400000000001","689.2866666666665","743.94","790.43","823.7466666666666","649.2700000000001","716.62"
"276","749.3714705882353","728.6395588235291","713.0775000000001","735.4247058823528","744.1997058823529","731.7901470588235","783.0816176470587","734.3613235294118","723.0864705882353"
"277","759.1872972972972","726.8772972972972","701.6702702702704","755.2700000000001","723.0908108108109","713.1872972972973","757.225945945946","751.3132432432433","772.87"
"278","878.57","657.19","710.74","881.92","864.54","856.13","897.19","447.95","463.44"
"279","727.1333333333332","694.8966666666665","702.3166666666666","794.5166666666668","819.0099999999999","794.5533333333334","842.8566666666666","835.6133333333333","847.7066666666666"
"2143","631.5789473684212","646.9936842105263","624.7447368421052","701.1405263157894","633.8663157894738","611.8163157894736","621.5073684210525","625.2089473684209","660.7231578947367"
"2142","779.4433333333333","829.67","823.1833333333334","780.7399999999999","735.4966666666666","767.6466666666666","835.1300000000001","781.2933333333334","712.5166666666665"
"3519","825.4357142857145","788.8099999999998","727.6571428571428","722.7808571428571","711.488","766.2519999999998","820.3722857142858","796.5060000000001","780.7745714285713"
