hru,2010,2020,2030,2040,2050,2060,2070,2080,2090
85,775.0866667,686.2866667,654.9055556,704.5633333,714.9266667,628.4166667,698.4088889,664.9411111,370.4488889
86,681.09,672.2985714,651.5185714,660.1742857,695.1028571,698.1528571,718.1614286,600.8357143,381.7128571
87,694.8184615,604.8616923,578.2732308,623.0585385,625.2723077,616.0053846,617.7992308,565.7846154,375.4938462
88,582.1186957,587.2852609,607.5978261,664.3091304,649.8056522,636.4026087,668.9072609,674.3569565,428.3926087
89,594.27,643.5664286,619.2657143,507.4735714,495.8028571,510.2385714,544.0114286,558.7292857,476.5928571
90,658.0416667,640.7666667,584.1156667,578.0816667,483.9566667,471.965,534.7283333,515.3016667,402.2583333
91,733.7242857,697.6928571,701.2792857,757.3814286,714.2635714,675.39,710.3464286,720.835,558.7992857
92,642.385,690.254,732.479,792.159,645.235,471.528,538.87,649.262,690.516
93,693.0760345,673.022069,674.255,705.8115517,721.5039655,688.4031034,704.3386207,661.5105172,510.3381034
94,695.75875,656.6025,681.585,773.1575,696.63625,652.39125,745.1075,726.94,709.3525
95,627.2285714,690.7985714,680.8757143,754.8457143,684.1728571,667.14,566.6242857,586.8528571,684.9471429
96,696.2,657.1966667,650.11,678.3366667,695.65,679.29,701.04,636.89,369.18
97,700.9233333,662.0966667,654.9766667,682.7316667,700.5333333,684.6116667,706.54,646.9216667,337.16
98,556.932,451.882,417.024,441.072,450.662,436.678,499.942,568.418,694.468
99,775.3,737.685,727.805,757.905,782.825,768.28,791.12,723.545,572.375
100,793.0683333,755.41,745.4316667,774.8533333,802.25,789.2,812.2066667,725.675,550.4016667
101,716.2590909,617.7646364,606.889,635.2990909,667.83,671.3072727,694.6345455,661.2954545,383.2618182
102,689.0014286,685.9457143,687.1571429,605.3542857,574.61,545.1885714,612.2457143,634.8785714,692.81
103,790.84,752.305,741.765,771.37,797.73,783.64,806.05,721.275,559.06
104,542.566,488.2,466.038,435.452,484.538,602.992,570,454.466,401.054
105,644.9,652.7575,647.29,676.2275,593.185,558.284,578.3525,530.53,243.1725
106,730.2014286,611.2892857,579.7464286,644.2735714,683.6657143,695.86,734.6064286,606.6114286,271.58
107,639.6591667,589.1275,539.1366667,541.8133333,573.925,577.0233333,631.5675,642.42,636.6933333
108,688.94,700.06,736.4,736.93,722.885,726.025,800.63,734.69,561.535
109,638.6506667,593.5716667,587.3226667,562.568,594.8524667,587.672,597.9673333,556.27,382.9846667
110,663.4233333,652.3608333,650.8266667,678.5783333,697.31,679.6475,701.9991667,637.7075,397.9275
111,818.9022222,789.0622222,780.7133333,808.7977778,787.242,783.0855556,840.7077778,773.3555556,690.7155556
112,715.995,620.4675,564.505,417.2575,507.12,586.5225,674.9825,667.1025,449.1975
113,661.2675,559.29425,527.985,423.535,365.98,406.2575,505.6875,521.5575,355.6225
114,726.05,645.1609524,574.4885714,600.2738095,607.7790476,605.3628571,687.712381,631.5461905,399.4295238
115,647.8795652,543.253913,478.3447826,474.0047826,580.7952174,641.7047826,559.8921739,474.3730435,340.906087
116,727.153,678.43,655.894,712.786,755.867,733.699,775.981,745.706,764.476
117,459.93,264.49,488.3,627.54,706.11,379.08,248.7,261.63,243.41
118,700.6966667,673.4277778,634.8744444,591.5633333,630.8068889,679.1222222,723.38,714.8244444,726.2944444
119,730.0332143,720.4617857,719.8360714,740.6960714,756.35,748.84,782.7475,743.1128571,550.6767857
120,617.6039,576.9141,556.3034,591.7305,638.62,606.756,603.1345,569.992,375.1175
121,947.0326667,875.2653333,849.7946667,867.7706667,910.8993333,884.2436667,894.101,850.0663333,886.379
122,575.2140323,653.0187097,685.9022581,726.2335484,669.4895484,596.2817742,582.4532258,559.4925806,303.15
123,683.0757692,659.5380769,637.1715385,630.0357692,595.4773077,579.0111538,619.6023077,605.4557692,318.5719231
124,660.1964706,578.9817941,544.8161176,588.7704706,602.0217353,596.9087941,599.1961765,583.2632353,584.0626471
125,757.41,725.9435294,717.5705882,749.7805882,769.9170588,769.7452941,801.5070588,764.2911765,760.1758824
126,643.67984,533.82116,492.53584,552.4452,624.916,610.5076,593.7692,559.3032,382.8752
127,730.2994444,726.8933333,749.0927778,779.195,785.3488889,767.0238889,808.3833333,770.6088889,454.2955556
128,706.4628571,662.4114286,654.67,685.9885714,617.5714286,565.0885714,592.8957143,621.6685714,686.3257143
129,987.1978571,933.7664286,900.7078571,949.0378571,968.6828571,1001.425,1060.481429,988.5671429,946.8428571
130,687.235,635.2675,547.590625,518.941875,526.5275,531.325625,528.75125,568.52375,614.999375
131,669.4423684,617.2334211,603.0847368,634.4189474,658.3026316,651.8078947,663.4918421,602.8602632,323.4873684
132,653.59,614.4,608.46,641.29,652.07,632.06,651.69,600.18,238.28
133,641.19125,614.1641667,624.8045833,627.4825,570.2170833,556.5679167,644.29,661.06125,346.2133333
134,632.26,594.405,588.96,621,630.91,610.965,630.095,581.72,238.33
135,634.9609091,610.1136364,604.4809091,633.6990909,597.5945455,592.7345455,635.1490909,592.5618182,329.5954545
136,958.9995238,930.6180952,878.1590476,865.6638095,867.6433333,848.52,948.9795238,935.077619,947.7742857
137,649.37,610.22,604.3,637.5,647.8,627.35,646.83,614.58,477.76
138,740.8084615,735.7207692,723.76,742.5215385,727.2192308,694.6884615,747.2269231,714.1576923,735.56
139,684.0083333,665.82,610.4191667,591.6025,554.11,569.97,588.5683333,645.3108333,644.2916667
140,712.0916129,675.7983871,639.1025806,629.9045161,632.5735484,610.6577419,632.503871,618.4296774,672.48
141,740.2811111,736.1511111,719.2707407,720.4596296,714.8618519,690.6381481,748.2807407,756.642963,773.402963
142,572.87,551.4205263,525.7892105,542.5980526,537.2234737,552.145,574.8736842,546.6536842,273.0447368
143,751.462,748.324,766.174,695.228,600.958,542.852,587.596,678.186,729.04
144,701.0526667,648.6906667,657.9880667,712.794,707.9906667,648.6593333,672.68,647.2393333,648.7926667
145,738.456,661.58,526.305,575.664,585.46,629.791,752.41,587.528,607.438
146,777.3666667,742.0013333,679.784,734.848,740.452,750.564,792.5246667,764.7486667,745.3352667
147,807.6465517,763.3596552,770.6444828,778.9203448,790.1286207,750.2082759,743.9789655,713.2006897,790.2962069
148,707.1770455,631.2452273,592.4813636,647.0984091,663.3784091,621.0120455,635.7463636,587.595,458.6095455
149,730.405,515.03075,450.61,624.3425,760.4925,763.545,786.45,518.4475,345.6
150,960.1176744,914.3930233,849.437907,872.5213953,866.5553488,852.795814,862.0283721,834.5139535,836.3416279
151,745.012,722.461,653.58,634.566,599.05,600.864,687.015,706.003,761.861
152,1065.726923,1054.751026,951.6079487,907.4251282,867.4566667,891.3861538,923.9,862.2858974,859.4953846
153,674.09,641.6880769,645.6085385,649.1611538,635.4066923,615.3973077,645.1684615,649.8253846,646.8980769
154,883.5269492,833.0298305,820.3311864,799.9310169,809.9477966,857.0350847,859.7088136,795.3162712,804.9544068
155,573.4856522,544.9663913,539.2984348,702.7073913,605.7108696,562.863913,496.7574348,485.7326087,332.5495652
156,577.0818182,675.3081818,640.6263636,655.4409091,526.446,426.7345455,501.8909091,557.5072727,404.1654545
157,922.4128571,831.8278571,758.8339286,821.9932143,827.92,793.2785714,821.8589286,806.9307143,837.7535714
158,989.6254545,938.6318182,813.7718182,784.9690909,866.0836364,912.56,959.3281818,861.35,875.0809091
159,702.2108696,684.9126087,667.6082609,662.7656522,707.01,730.1895652,748.0730435,654.7265217,692.8473913
160,714.34875,679.8425,636.0425,683.69375,719.05375,743.36125,733.99375,680.33625,681.34625
161,720.6042857,696.51,692.4071429,705.4578571,712.7739286,693.4445,702.7828571,689.8657143,715.1271429
162,629.9266667,526.9523333,501.4983333,537.6903333,567.3323333,573.1516667,564.69,554.6183333,289.6266667
163,776.9066667,783.63,784.9133333,811.2233333,817.3833333,779.4333333,803.9033333,765.48,653.8333333
164,764.3025,748.599375,747.01125,751.47625,668.20125,625.375625,715.18375,707.4125,742.95625
165,776.103,792.746,804.91,857.5,861.227,878.228,913.369,835.529,624.499
166,762.7989474,731.2594737,712.5436842,700.6957895,742.2242105,756.0989474,791.0889474,738.0626316,637.8152632
167,912.6854545,912.0275758,937.9562121,911.6031818,857.2254545,804.8266667,813.9330303,888.0924242,940.079697
168,695.75875,701.37375,659.0629167,631.3133333,612.38625,619.7891667,652.6325,670.9033333,677.77625
169,656.67,618.481,613.035,645.675,657.15,637.931,657.933,609.387,331.444
170,728.3935294,722.8429412,710.8917647,733.9111765,745.4841176,713.77,740.5770588,716.0388235,381.5688235
171,723.4120408,734.3642857,893.4961224,837.3077551,822.5373469,853.7112245,845.6179592,785.4373469,754.9612245
172,743.47,689.4325,680.925,662.3375,667.5725,669.225,721.88,732.1925,333.8825
173,742.4792,725.1312,742.7416,751.4004,694.0828,654.8372,704.9932,708.9656,738.8688
174,705.0208475,689.6572881,672.7237288,685.7677966,675.6794915,672.6033898,717.0079661,687.6906102,696.6652542
175,732.0833333,684.6355556,649.5477778,663.9677778,669.5666667,674.6488889,711.9077778,715.1988889,722.4055556
176,716.2406667,758.5046667,745.9646667,835.756,717.822,628.0226667,640.3773333,769.5966667,804.434
177,637.2571429,590.4995238,567.2210952,585.3138095,584.158,561.0185238,576.0704762,551.8695238,293.0690476
178,725.545,730.89,714.015,761.8,786.88,851.895,789.855,771.325,769.455
179,830.1217647,745.0317647,725.4141176,756.8252941,750.9847059,749.1476471,794.0205882,759.94,793.4564706
180,900.0877778,756.9655556,771.0622222,864.2522222,890.3855556,876.1511111,862.36,756.8255556,816.1566667
181,710.903,723.049,726.671,738.363,736.762,719.344,772.823,757.126,772.736
182,789.1369231,802.2038462,810.9692308,832.99,846.1853846,841.5707692,879.05,846.2161538,853.2130769
183,951.168,922.0686667,863.7926667,845.6193333,855.7466667,911.4206667,944.6153333,805.9913333,830.102
