"hru","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"270","793.0622222222223","760.7744444444445","751.7455555555556","804.7666666666667","784.2588888888889","739.8044444444444","773.41","755.4916666666667","746.7522222222223"
"271","720.2528571428572","663.6542857142857","675.6971428571429","657.6842857142857","612.7557142857142","727.1185714285714","737.6128571428571","748.1457142857142","785.6700000000001"
"272","744.8622033898305","748.4820338983051","738.1301694915254","768.5488135593221","782.1420338983047","711.6628813559321","716.2523728813559","720.0708474576272","748.6272881355933"
"273","663.8582142857141","674.6035714285715","652.6914285714286","671.6357142857144","636.1510714285714","549.2653571428572","544.1282142857143","581.5432142857143","647.2060714285715"
"274","802.79","781.53","765.78","813.89","800.25","778.52","821.53","807.66","808.24"
"275","822.2433333333333","658.88","603.7833333333334","439.81","521.4733333333334","647.9933333333333","812.6066666666666","812.8533333333334","786.3133333333334"
"276","749.3705882352942","729.3513235294118","715.6458823529413","743.1867647058823","758.4008823529412","731.9677941176468","766.8438235294118","733.1242647058824","792.3569117647058"
"277","759.1924324324323","732.3762162162162","718.8716216216212","767.0364864864865","735.2218918918919","724.4743243243244","781.992972972973","779.4105405405406","757.1735135135136"
"278","878.57","690.01","725.74","882.47","864.85","856.34","897.34","606.96","699.15"
"279","727.1333333333332","694.8966666666665","761.9833333333332","812.0966666666667","824.6066666666666","810.2466666666666","852.8866666666667","837.1033333333334","848.8033333333333"
"2143","631.5447368421052","640.5400000000001","618.5910526315789","662.3589473684211","606.4684210526317","577.9584210526315","605.5473684210526","650.2778947368421","682.3573684210527"
"2142","779.3033333333333","829.2666666666665","822.8566666666666","780.5266666666666","735.3433333333332","767.5233333333334","835.0233333333332","751.7833333333333","645.4733333333334"
"3519","825.4128571428573","794.510857142857","744.9182857142858","771.6745714285714","871.0691428571429","893.5331428571427","918.3622857142858","831.9380000000001","782.6759999999999"
"3518","701.3062500000001","736.6487500000002","747.86375","797.93","775.6800000000001","761.69125","808.8874999999999","787.5375000000001","776.2087499999999"
"3513","572.5471428571427","577.1185714285714","575.2890476190476","566.0761904761905","557.6990476190475","539.3361904761904","545.592380952381","565.9366666666667","542.0171428571427"
"3512","474.48428571428565","472.12714285714276","481.50000000000006","485.43714285714276","480.74000000000007","478.61642857142857","478.0799999999999","498.2392857142857","490.78357142857146"
"3511","514.8679999999999","565.2813333333335","550.4093333333333","568.6626666666667","562.946","570.7293333333333","486.71133333333336","498.4486666666666","488.4313333333333"
"3517","473.75","474.64","474.59","477.35","472.52","482.54","488.94","488.73","489.34"
"3516","498.32","508.145","496.49166666666673","512.7533333333333","498.895","487.39833333333337","492.545","503.47333333333336","496.365"
"3515","491.23357142857145","490.4328571428572","488.31","492.7750000000001","485.09499999999997","465.9607142857143","479.23785714285714","490.85928571428565","476.6471428571429"
"3514","587.86125","567.59125","587.0437499999999","580.5287500000001","546.58375","566.9749999999999","545.43375","575.8337499999999","561.10125"
"2688","884.6133333333332","974.3366666666667","988.2599999999999","763.71","342.43333333333334","584.4066666666666","805.8933333333333","956.4966666666666","1019.0666666666666"
"2689","698.6214285714286","698.6507142857143","680.9864285714285","711.9814285714286","681.6828571428571","678.2435714285714","723.3964285714285","719.7207142857143","709.9949999999999"
"2684","703.635","745.03","736.4449999999999","766.0050000000001","786.795","825.415","671.26","774.725","766.5999999999999"
"2685","783.7842857142858","828.9107142857144","771.422142857143","758.8485714285714","802.3014285714287","1110.1664285714285","972.9471428571429","929.7814285714285","729.8028571428571"
