"hru","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"270","793.0622222222223","752.6016666666666","740.9822222222223","791.3722222222223","796.5805555555556","765.9755555555556","778.5383333333334","728.943888888889","748.155"
"271","720.2342857142858","663.5885714285714","689.9957142857144","719.8442857142857","731.9499999999999","786.7014285714286","708.027142857143","699.37","742.3242857142858"
"272","737.4100000000001","727.1281355932205","697.6555932203389","729.3961016949153","748.8661016949153","678.7422033898305","679.1362711864407","676.5203389830508","721.4335593220338"
"273","663.8457142857143","685.612142857143","669.3553571428573","697.5578571428571","679.3257142857141","630.3953571428572","628.359642857143","608.6353571428572","646.6914285714286"
"274","802.79","781.53","765.78","813.89","800.25","778.52","821.53","807.66","808.24"
"275","822.11","658.5366666666667","673.5500000000001","653.0333333333333","653.2166666666666","660.3633333333333","552.0466666666666","518.9333333333334","682.6"
"276","751.7313235294116","731.5892647058822","715.9694117647059","732.3680882352941","738.2885294117647","738.0336764705883","795.306911764706","787.8930882352939","781.5786764705884"
"277","760.7521621621622","724.0918918918919","702.6686486486489","750.4308108108108","732.4194594594595","724.7213513513514","792.9821621621619","776.8781081081082","768.1664864864863"
"278","878.61","576.92","680.97","880.84","863.86","855.72","896.88","447.2","463.44"
"279","828.5499999999998","833.8533333333334","835.0833333333334","860.5366666666667","865.6233333333333","832.8100000000001","860.9933333333333","843.4233333333333","853.9933333333333"
"2143","619.9389473684209","631.6673684210526","632.3342105263157","695.4884210526316","696.0357894736842","644.18","686.5099999999999","652.6389473684211","684.7942105263157"
"2142","779.4433333333333","828.9200000000001","821.8666666666667","812.8833333333333","719.86","766.0666666666666","783.2966666666666","749.3033333333333","648.3666666666667"
"3519","825.473142857143","809.2825714285714","773.0194285714285","786.767142857143","736.9922857142857","750.8431428571428","780.2962857142857","757.6011428571429","781.6462857142857"
"3518","580.0749999999999","595.8575","597.38625","658.3175000000001","722.72875","741.38","818.4424999999999","804.3662499999999","793.86875"
"3513","574.0990476190476","578.2709523809523","577.1328571428571","568.5380952380953","558.1509523809522","541.0585714285712","547.3142857142857","569.1866666666667","542.305238095238"
