"huc","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"170900060207","176553.80842911877","162025.30268199233","169565.27586206896","162669.3141762452","154431.08429118773","111364.05363984674","105623.41379310345","153726.8429118774","169704.35249042144"
"170900060206","61700.22746781116","57689.841201716736","53987.957081545064","55387.811158798286","48442.16738197425","43693.28326180258","34299.70386266094","46161.29613733906","61277.15021459227"
"170900060201","186336.51940298508","168131.61492537314","208344.55820895522","195758.58208955225","164664.00298507462","97447.95820895523","79099.34328358209","149303.4208955224","148714.78208955223"
"170900060203","88143.8410041841","83627.52719665272","109789.48535564853","90570.15062761506","71552.05439330544","60201.6359832636","49903.60669456067","69632.80334728034","89846.64853556485"
"170900060202","163080.6872727273","146249.48363636364","193031.5090909091","173252.86545454545","146233.58545454545","90065.25818181818","82091.74181818182","148884.13818181818","147092.62181818183"
"170900060208","186101.19825072886","179351.57142857142","199373.37317784256","204095.62099125364","201503.43148688046","114371.07871720116","115342.91253644315","176368.48396501457","186173.2274052478"
"170900040501","144786.69933554818","121723.66777408638","160638.5564784053","146206.51162790696","159553.07475083056","85275.7242524917","106568.38704318937","137947.37375415282","153820.18604651163"
"170900040502","77019.705078125","64719.56640625","73648.5859375","53789.669921875","48276.0234375","42462.541015625","40496.20703125","60612.017578125","78721.443359375"
"170900090110","11438.717467760844","9343.010550996483","8856.17936694021","10526.016412661196","3411.271981242673","5935.234466588511","5386.561547479484","7325.94021101993","8755.195779601407"
"170900020201","64756.38600451467","58247.002257336346","64256.29683972912","44031.03611738149","40236.002257336346","36411.60835214447","52924.68058690745","50773.71783295711","64803.55079006772"
"170900020203","42236.94886363636","34939.1625","34712.225","28729.897727272728","26084.982954545456","20004.179545454546","32863.65","34171.075","42463.95681818182"
"170900020202","95240.36923076923","85875.66153846154","106018.97622377622","90376.9062937063","87135.78041958042","54779.504895104896","82225.36643356644","90889.16363636364","105416.48531468531"
"170900020205","39744.28236607143","29241.390625","23536.055803571428","24004.097098214286","12658.171875","17505.915178571428","25974.32254464286","27359.703125","33497.42633928572"
"170900020204","23684.38532110092","17317.653669724772","13723.555045871559","13982.538990825688","6737.176605504587","9576.577981651377","15189.552752293577","15250.29128440367","19246.133027522937"
"170900050206","2393062.201550388","2615129.976744186","2961042.8294573645","3103421.434108527","3472440.1782945734","2568314.302325581","2805205.2868217053","2738717.3643410853","2770017.7829457363"
