"huc","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"170900110606","14275.333333333334","25873.973782771536","20564.205992509364","20370.936329588014","7252.61797752809","71.87265917602996","26088.917602996255","368.8052434456929","2543.9176029962546"
"170900100503","21105.967741935485","45030.544802867385","38404.18100358423","22034.206093189965","13352.815412186379","0.0","51910.47670250896","145.81541218637992","4320.949820788531"
"170900100502","5273.13475177305","11120.510638297872","9675.862884160757","5237.0094562647755","2974.5579196217495","0.624113475177305","11465.510638297872","30.016548463356973","959.2316784869977"
"170900100501","7081.3","17218.838888888888","13625.788888888888","8028.480555555556","4624.055555555556","79.96111111111111","17392.01388888889","128.2861111111111","1559.6638888888888"
"170900100504","7432.511627906977","15148.611627906977","13720.06046511628","6642.325581395349","4431.811627906976","0.0","18726.097674418605","38.544186046511626","1365.2581395348836"
"170900010303","51211.44087837838","85097.68243243243","48654.58614864865","37720.61993243243","31714.68918918919","10412.609797297297","23542.27364864865","16337.611486486487","17100.56081081081"
"170900010302","1764747.6008492569","1305272.212314225","1224417.6157112527","672714.6666666666","631931.2908704883","266958.4437367304","390260.6390658174","162657.0","316250.77494692145"
"170900010301","3276670.206405694","2749452.822064057","2443584.9822064056","1494948.6690391458","1295582.537366548","659368.0854092527","941029.56227758","290658.6832740214","489077.4483985765"
"170900060806","7913.67197875166","11945.142098273573","9111.96015936255","11410.216467463479","3856.7317397078355","223.79282868525897","7652.277556440903","57.63081009296149","1809.4050464807437"
"170900060805","18482.578534031414","28063.7722513089","14102.193717277487","27485.07329842932","8010.410994764398","621.2356020942408","11448.335078534032","790.7905759162304","4242.929319371728"
"170900060804","45726.07894736842","78660.06477732793","36990.24493927125","49842.57085020243","19892.293522267206","4577.105263157895","26853.093117408906","5747.4089068825915","9714.386639676113"
"170900060803","28940.2","43764.95263157895","19357.073684210525","46198.094736842104","12424.310526315789","583.4763157894737","16846.18157894737","1361.1368421052632","6810.131578947368"
"170900060802","32621.555248618784","53288.39502762431","22884.638121546963","36010.49723756906","13145.737569060773","1913.220994475138","16290.96408839779","3191.5911602209944","6785.792817679558"
"170900060801","45236.589219330854","62660.60966542751","27023.589219330854","55677.799256505576","16635.65055762082","1282.9795539033457","22765.845724907063","2561.736059479554","8625.531598513011"
"170900060205","216287.29857819906","265246.981042654","184576.63507109004","124793.30805687203","97460.98578199052","34596.85308056872","108135.17535545024","30444.364928909952","52055.995260663505"
"170900060204","848543.9588014982","794502.0037453184","674269.8801498128","368906.48689138575","315296.3745318352","117833.7191011236","291720.77902621723","92537.55805243446","172646.36329588015"
"170900060207","256794.816091954","328905.50957854406","219435.66283524904","167770.6436781609","121130.96551724138","43530.95785440613","122460.37164750957","42679.04980842912","64275.84291187739"
"170900060206","88459.02575107296","121926.8669527897","76956.44206008584","64965.2660944206","47517.656652360514","17486.339055793993","48330.1330472103","16194.424892703862","26019.227467811157"
"170900060201","272096.87462686567","283006.53731343284","223436.06268656717","123577.03582089553","115939.48358208955","39790.982089552235","112224.38208955224","35457.20895522388","72075.48955223881"
"170900060203","125730.31380753138","159450.83263598327","113679.73221757323","71100.73640167364","71843.57740585774","26384.857740585772","73345.6359832636","24538.21757322176","42192.054393305436"
"170900060202","238829.25818181818","268028.6254545454","210178.90181818182","106217.89090909091","108470.72727272728","38896.72727272727","107646.18909090909","35126.09090909091","64223.65454545455"
"170900060208","297028.1574344023","313979.91545189504","252671.54227405248","143023.62973760933","113903.15451895044","43072.87755102041","104752.19533527696","36909.2915451895","63495.565597667635"
"170900040501","245702.39368770763","285320.1096345515","186911.792358804","135279.06644518272","122330.85880398672","35635.83056478405","99362.7657807309","34914.66611295681","65598.25747508305"
"170900040502","112416.50390625","163522.052734375","90373.955078125","76995.83203125","61369.779296875","14557.93359375","56167.763671875","17932.98828125","26679.07421875"
"170900090110","15644.611957796014","25121.47245017585","20484.59085580305","21975.460726846424","10444.970691676435","183.65767878077375","23985.383352872217","218.18991793669403","3255.4548651817117"
"170900020201","100551.06772009029","150153.25733634311","78707.7144469526","82024.17607223477","41485.21106094808","14311.647855530475","50118.37020316027","18713.076749435666","22079.272009029344"
"170900020203","63516.51931818182","93947.23068181818","47795.86477272727","51049.96022727273","25941.0125","8742.905681818182","27137.889772727274","10842.226136363637","12620.595454545455"
